Положительное_сообщение,Отрицательное_сообщение
добрейший волк нашего детства ... анатолий дмитриевич папанов ! 👍 ;-),вот дибилы!
в довавь ссые нди стену,чмо быдлячъе...👎👎👎
"добрый вечер! можно заказать, они три все разные, правда? сколько по цене? спасибо!",рожа жидовская
а. он взрослый. или. детский,"вообще конченый урод, ну по морде настучи, зачем брать топор и убивать то! 🐽"
+ как улучшить жильё и какие документы нужны,опять нажрался на работе.?выгонят тебя холуйка ...а я предупреждал : не пей талаша козликом станешь..
все на одно лицо нет индивидуальности з,🤡 владислав грюнвальд зо мин исследования немецких психиаторов третий доказали что каждый сотрудник сми такой пизданутый украинских же как два остальных з нравится комментарии
средний,скоты это мягко сказано !!! уроды !!!!!
"как сейчас фото с цветами везде пиар. а жизнь не пиар. любите, доверяйте, поднимайте, не передавайте. цветы в душе. любовь на поступках. свою любовь на показ, тот кто любит ценит не покажет. а тот кто парится, нет любви.",блядь это что то.
лицо то покажите..или правда смерть?,"ну вы тупыеее... секта, видимо, все таки внесла свою лепту."
"колыбель для кошки.-верка,держи книгу.но только на день.потеряешь-прибьем. прыгаю в автобус,примостилась у окна и начала читать.не могла дождаться пока доеду домой.очнулась я от крика кондукторши над ухом.- эй,ты,грамотная.давай выходь,конечная.😒.добравшись домой я продолжала читать до утра.но надо идти на работу,а книга не дочитана.звоню в свое кб.начинаю изображать из себя жутко заболевшую.и прошу отгул. начальник-вера,что случилось.только говорите правду.и я признаюсь,что не успела дочитать книгу,а вечером надо отдать.-значит так,вышегородская.считаю,что воннегут заслужил . даю отгул.но,в субботу пойдете на дружину.","нашли, между прочим ствол 🐷 ак 47 отличный. дебилам не понять"
продам кирпич новый доставка.,🐓 жарик - едросячий едирас-закрысёныш
"очень вкусно, делала.",🙄 мужик хуёвинький писал эти строки.
"судись с проводниками, ржд...........у них праздник ведь..............","тварь. чтоб с твоими детьми так обошлись, пи...с(md)"
может сейчас у нас задумаются как делать поблажки этому батьке,🤬 как удобно каждому пидору-менту скрываться под маской и в обсолюте не знать упк и гк ! это жесть! и в звании майор! пародокс! а мы -граждане - платим из своего бюджета таким незнайкам в погонах ! нахрена они и еже такие нужны?
"тувинец министр обороны скажи, представьте такое в 70-80 е годы то 100% оказался бы в психдиспансере, ну а скажи, что 26 летняя блядь будет генералом при этом тувинце то у психитров съехала бы крыша.","собака прелесть, только надо было той суке в харю вцепиться."
"кто не жил один, тот не поймет одиночество другого.....",очередной пососайка
сбой связи. перезагрузите игру !, баба пьяная - пизда чужая! 😠
а запах какой на такой полянке.,ебальник у тебя шалава хохложопая. я тебя блядина трогал? ты мне сейчас грубить начала а не я. 🤢
на хонор 7а не хочешь поменяться,ебало своё закрой ! тварь ! .....
ухоженная женшина,"да у нас ,как ни машина...так легенда! как ни президент...так гандон!как ни мент...так хуйло!и так далее! только мы все белые и пушистые! 😤"
ну и красавец!!!неужели настоящий?,"хайретдинов ,ты,что такой злой как собака.сколько русским надо говорить не говори русские без твоих соплей обойдутся."
так порезать на кубики или перекрутить все в фарш?,"какие ноты,какая украина,пусть подотрут задницу эиой букмажонкой.да была когда-то при ссср украина,да вся вышла.легла под пиндосов,как продажная девка и ничего от нее не осталось.где твои черноземы, проебла направо и налево,потеряла себя и всю былую мощь,а еще нам ноты слать."
"он показал себя лживый непризнание своих поступков, для меня не человек моё мнение 👎👎👎","удивительно судебный приставов возможно учился в школе , а возможно и не учился. откуда их набирают от мамкиной сиськи и сразу звание дают . это монстры какие то!"
"вот бы мне такого,супер","ну как же я тебя люблю! ты ближе всех ко мне, надежда! все аремя засадить хочу!!! и каждый раз сильней, чем прежде! я рад, что хочешь ты сосать!!! тебя за это обожаю!!! везде хочу тебе вставлять!!! мысленно в попочку кончаю!!! ты страстная! прям, как и я!!! пи...дою трешься о мой ротик! сосу тебе, любимая!!! ты шепчешь:сладенько как, котик!!! письку и попочку лижу!!!!.. а ты сосешь мне стоя раком!!! от сладости таоей кричу!!! я словно пес , а ты собака!!! седьмой оргазм тебе дарю!!! до безсознанья закохаю!!! надежда! лишь тебя хочууууу!!!! тебя нет слаже в мире!!! знаю!!!"
лучше позвонить по телефону,рима ты ебанутая на всю голову если не видишь что творится не надо не пиши всеравно умной не станешь такое впечатление что ты родом из африки судя по твому общению ты еще та тварь продажная.
грибы какие?,ну и пиздабол
"марин, а размер какой у протеза?",эх блять! а так хотелось с лягушки в принцессу.....
покрывало ночь нежна витраж голуб зч б вохб бязь огр артикул sки почвббоо есть доступность в наличии в руб общий размер двуспальный размер вохб покрывала см материал бязь длина ворса отсутствует состав ооч хлопок плотносты о т м стежка отделка особенность двусторонние производитель ночь нежна страна бренда россия постель рф кол во текстиль оптом,"вот это мразь, чему радуется козёл."
"царствие небесное т.рае,примите наши искренние соболезнования",ты ебнутый следи за своим языком уебак
гомельская область город светлогорск м он молодежный дом 55а кв 41 шенец светлана андреевна 247431 размер 39 тел 296278401,💩 всё дерьмо в хабаровске и местные жители города могут быть предатели.
днем рождения с поздрива серденно саодна говор букот из нажеааний души от всй дарк сбх зурни ясних обывжих днай теаа сgто жизни ещб прехрасной ав радстнай буа,какой массажист это далбаеб конченый
соболезную семье .нет слов .жаль. как жаль что такое происходит на нашей земле .больно и обидно что гибнут мирные люди !!!!!,"🐔 разрабы хуесосы я ваш рот ебал мой прицел модовский сдавали а ваш дерьмо ,зашёл после обновы одни сливы 20 боёв ни одной победы где ваш баланс ? где обнова ? или вы трафик только жрете пидары ненасытные?"
"вот ты галка успела сколько дел сделать, молодец а я все не могу попасть к парикмахеру .проснулась не могу уснуть, думы мои думы...,",это манкурт ебучий
ищу связку трав или шар магический,а хули ему прогибаться. все золотовалютные ресурсы россией в америке. он там желаемый гость. хуеплет конченный.
"к сожалению, данных после 1885 года по кронау у нас нет. но можно проследить корни из пришиба.",по тому что пидараст
какое счастье иметь такого друга,господиииииииии...((( снова лайкодрочеры(((
"ребята! - вы, класс!","путин сила каждого ебет что вы ублюдки не можети жен своих удовлитворить ани как шлюхи на хуй просятса , займитесь сабой васи"
свой.,уроды это вы! не 🐔 состаявшиеся завистливые мразинки!
"молодцы думцы,своих не сдают !!",у нас в россии нет никакой ауе а вот уебков хоть отбавляй
"неправда,он научил русских не ложиться под чужой нам мир.","пидерасты,глумление над народом,тяжелее ручки в руках не держали,всё воздасто сполна,как не крути и это будет"
"везут отходы ядерные в рашу, а у раши есть бн-800, и новый бн-1200, фсё враньё ...россия успешно перароботоли ядерного уран-циркониевого топлива.",одно слово -долбоеб..второе-жополиз!!
не всегда это так. 😕,"мне было грусно, от того какие припизденные 👿"
наталья огромнейшее вам спасибо за постоянную помощь 🍓🍨🍓🍨🍓,"вот чувырла, жопа голая 😑 и голову не прикрыла."
всё правильно.веди себя прилично.,_#вп тупое ботексное аблезлое хуйло валинахуй из крыма нахуй пшёл ленинградская ёбаная еврейская паганая шлюха-блядь_1_ 😤
и сколько он стоит,что за дебилы пишут такое!!! на деревнях 😡 весь мир держится!!! если бы чушь не писали я бы двумя руками класс поставила! на детях класс выпрашивать пошло!
"неужели ни кто не может его взять? я бы даже не думала, хотя у меня их очень много, но пройти не могу мимо. люди кто нибудь , надеюсь есть ещё в этом городе люди , а не зомби, которые приласкают и помогут малышу. 🙏🙏🙏🙏🙏",и причём здесь россия? долбоебы и в африке есть 😒
ок ждем завтра,"то 😤 что люди скоты, это мягко сказано!"
а ведь на спор пролетел...спорили с корешом на литр водки.. вы присмотритесь. там по мосту девчонка корову гнала в это время. так вот их реактивной струёй с моста сдуло...судили парня за этот поступок....,да пидоры они вск
а мне американские горки не нравятся. а керченский мост очень.,"пидарюга ты конченный, я все по делу сказал если ты решил сниматься с чемпионата то делай а так хули на публику играть?!"
"я до глубины души потрясена мужеством нашего народа в вов ,это были стальные люди я и представить себе не могу смогла бы я хоть один час прожить очутись сейчас в том времени ,какой же наш народ многострадальный ,сколько вытерпел а теперь еще надо терпеть ,и нет конца и края ,знал бы этот солдат на фото что сделают сроссией нынешние правители ,пусть они будут прокляты ,у них нет родины и чести ,они даже еще хуже тех фашистов ,","😠 😒 выебнулась дура, спецовку хоть бы надела"
индуизм и буддизм в одном флаконе..,кобыла ебаная!!
мы сегодня получили,пиздит эта вафлерша 😠
"истенный мусульманин с. мане, с праздником",а твои жирные армянки лучше что-ли?
хотелось бы верить.,😤 надо не запрещать а ебашить последователей кто ходит на нее. нечего долбаебам плодится и собчак и многих еще псевдопевцов. дегенераты конченные
привет кто подскажет какая сейчас крайния цель,"ты от ,,стёпы бендеровского ?,, пиздуй на львовщину мудило !!!!!!!"
"храни вас, господь.🙏",вот ты напрягись и 😠 работай когда будешь в моём возрасте вот тогда а будешь лалать время бежит быстро ты видно дерьмократ лебераст вот и поинтересуйся когда уходят на пенсию в цивилизованных странах 1991 г городские сумасшедшие орали партия дай порулить порулили твари забыли твари сказать что на пути к капитализму кормить не обещали
"добрый день. направлено обращение подрядной организации для проведения обследования и принятия необходимых мер. с уважением, администрация дмитровского г. о. #намневсеравно",да я бы не сказал что страна 🤢 дураков. кто кого объебе
"ну что , так и не нашел нужный том и нужную страницу ? боюсь , что не найдешь .",что-б ты здохла или здох. 😒
звоните по номеру пожалуйста),вот это только что вынули из моей жопы такие уже штуковины клятые москали суют в наши 👿 дупы шестой год доколе это будет продолжаться подряд
вы попали. https://youtu.be/jfqhey9t_go ok.ru/video/2169454924072,не геями 🐓 а пидарасами
вый😁,😠 какля охуенная история еще расскажи
"ну и без минусов никак:без определёно сильного развития,- города,крепы не взять,ну и улучшать крисовых долго.но это не проблема!",путинский выпердыш.
а питиноиды это кто? от слова питоны?,конченные пидарасы.
ислом,сколько обиженных и пизданутых
так и закатываю,тогда завали ебало
"да, за этот столикбы..","🐷 пиз..........бол, ой какой пиз....бол."
что это было?! 😅,анаколий 😡 вы и правда дурак
нежно.. грустно..,"он защищает только своих детей , анавсех остальных ему насрать , трибунал ему и всем его пидорам"
им просто на счет будут перечислять.... 😁,пидормоты.на кол сук надо сожать.чтоб другим неповадно было
будет о-о-очень большая гора с вонючим мусором.,"гаджет те пизда, хаба тя разарвет, ещё один умник"
" мы -- это мы ! не германия , не япония , не какая другая страна....может , мы только и умеем , что воевать ( шутка ) во всяком случае , --каков народ , такая у него и судьба , такая история ...что нам мешает изменить эту судьбу и историю ??? а мне понятны и близки слова а.с. пушкина о том , что никакую другую историю он бы иметь не хотел.....ворчу , но терплю и люблю",придурок поддерживает 😤 придурка
"намного лучше! а вот что он крутит это хорошо отцентрованный,типа двух ручный мест.",🐷 ебало своё завалил пиздун конченный это ты бля не знаешь что такое секс понял хуйло чмошное со своим обрубком!!!! 🖕
и лариска крыска с ней,закормленных мудаков.. наверное в венгрии не воруют
хорошо помню -стороженко и рубцова--но ничего не известно,"жирик , ты был пидорасом и пожохнешь пидорасом"
девочки мамочки ждулечки!!! спасибо всем!!! здоровья и удачи вам и вашим сыновьям!!!🌹🌹🌹🌹🌹,"табуретки на 3-х ножках, пусть жопу массажируют"
импульсные помехи это бич радиолюбителя....,каким же надо быть идиотом чтобы поверить пиздоболу за фото. вас сука не только чипировать.
"да ради бога, кто его здесь держал...",к ноге падла
он таких и выбирает!,сука мудак!!! этот ефремов. смалинькой буквы
"хочу к тебе в объятья, милый...светлана красильниковахочу в твои объятья, милый, слышишь...хочу к твоей груди прижаться, знаешь...хочу послушать, как ты мною дышишьи очень нежно к сердцу прижимаешь... хочу в твои объятья, сладкий, знаешь...хочу прилечь я на твоё плечо,почувствовать, как спину мне ласкаешь,чтобы от этого вдруг стало горячо... хочу в твои объятья, нежный, знаешь...хочу прижаться я к твоей груди,услышать, как любимой называешь...хочу к тебе, меня за это не суди... хочу в твои объятия до дрожи,стремлюсь не расплескать свои желания,мурашками пусть побегут по кожеприкосновения мои к тебе и обожание... хочу купаться в нежности твоей,хочу, чтоб называл меня любимой,хочу остаться девочкой твоей,желанной и тебе необходимой... не обессудь, родной, что я тебя хочу,твоей любви и силы твоей страсти,и чем теснее жмусь я к твоему плечу,сильнее жажду наслаждаться твоей властью......","и тут ты хуйню поришь, тебе же сморчку не раз сказано, чей прапор в крыму и донбассе, твоей желто-голубой тряпки там не видать, вот когда повесишь тогда и будешь орать, це украина, а пока кет на кутак (иди на х...) дятел"
на бис ещё видос,"вокрасотки, как у кабылы меж ног, копии, дуры."
"очень жаль, но в точку.",всё ещё фургалят недоумки.
за мной уже много желающих голосовали.,🤬 очередная пиздаболка!!!
принцип бумеранга никто не отменял. этот хозяин также будет брошенным.,сука ти продажная
"камер навтыкают по всюду, вот тогда начнутся и проблемы","жопомойка из чехии безгаз, безвиз, безштан"
"тогда вопрос,а федералов где носило столько лет?","эта дура и не в курсе, что парад в масках проводили."
молодец!!!,"вы, гребанные водители-недоучки! права купили и оборзели!!! у детской поликлинике сбили на пешеходе ребёнка . тоже дама -водитель сказала, что не заметила! а интересно, для чего вообще пешеходные переходы, если на них из водителей никто не останавливается???"
"девочки, у меня хорошо держится. фетр на пластик клею горячим клеем и чуть обжигаю фетр зажигалкой, даю хорошо подсохнуть и клею на бантик на гор клей","это была певица, сейчас одни ушлепки и долбоебы 🤢"
"у соседа наверное забор 3 ,и метра и колючая проволка.","😑 тебя , хай гитлер."
как сладко спать на широкой груди любимого деда!,"не путайте кгб и мойора стукача.это разные вещи.андропову просто чуть не хватило времени и сил,чтоб беспалого и меченого прижать.и эту хуяту убралбы.и интересно как мойор вдруг стал полковником.не удевлюсь,если к 24 году в биографии этого упыря будет генерал-мойор кгб,и он был зам.самого ю.а.андропова.нач.кгб."
4 задания и обновление закончилось?,хуеплета на лагере в пидарятник загнать
"сбой при загрузке,не открывается совсем","тебе, придурку даже воспитания не дали!!! видно такие же и родичи!"
"владимир владимирович путин!- а куда идут деньги за мусор,если хозява умерли и в доме,ква-ре уже год никто не живёт,а по закону долбаному,должны платить,в чей карман эти деньги идут, ведь смело можно сказать что эти день ги воруют из кармана других лю дей,хотя в там никто не прожи вает,мажет это вам на яхту не хватает?","хованская! ты такой авторитет для чеченцев,что они тебе доверяют сокровенное!?свои тайные помыслы!? даже про нож!? тролль вонючий ты!"
человек немного неправильно сказал.не сытые . а зажравшиеся. так будет правильно.,"и когда же тебе этот член в ухо впинали путиноидка,"
ваш профиль закрыт,"дурачок, русский мир на донбассе был всегда и всегда будет, сколько бы не ныли и не скулили кастрюлеголовые, майданутые бандеро-3,14дары!"
красиво---но могло бы при такой высоте и трусы сдуть ...очень опасный трюк,🙄 далбаебами не рождаются ими становятся как и ты мудак
на брусничной тоже кран сухой😩 хоть ночью в тазы набирай,"сдаст все , и всех москве !!!! и даже думать долго не будет !!! такая же блядь как и зеленый... только старая , седая , и прошедшая крым и рим...."
полностью согласна! так и нужно сделать!,эта херня не работаер!
"не говори гоп,,,,пока не перепрыгнешъ","🤢 раньше черные стреляли на машинах,теперь ишаки считают себя человеком ,вообще россию превратили в гадюшник черножопые ,чувствуют себя хозяевами пора гнать на хер из страны"
только это львица и тигр,все претензии ко мне прошу изложить на бумаги листке формата ач сделать самолетик и лететь нахуй вместе с ними счастливого полета уебки
"если спасают только перчатки, то это скорее бактерии, а не вирус на мой взгляд","🙄 тема стоит другая!а вы на кой хрен пацана фото сюда воткнули?вот я и спрашиваю : этого ребёнка зарезал мужик,что вы его фото здесь выставили?у вас проблемы с головой,что ли?и давно это у вас???мы вам должны соболезнования выразить в связи со смертью мальчика?удалите фото отсюда!не будьте конченной идиоткой!ставьте у себя в личке фото детей,а не в темах про убийства! 🤬"
коня можно оседлать и ездить.с рыцарями этот номер проходит не всегда.,сами мы лохи........ дальше будет хуже...
3000 тысячи,я жду когда ты ответитшь. .если нет значит 🐔 ты блядь подзоборная
здоровья тебе солнышко ♥,а еще говнеца добавить и будет счастье
"кто рано встаёт,тому весь день спааать хочется...😂","опять всё началось из-за пятого, практически в каждом матче он начинает заигрываться в штрафной, ошибка и на тебе сука гол. сколько можно блядь. заебал он своими передачами ебанутыми. паникёр хуев. неужели нет вратарей, вот блядь один сука пенсионер и в шахтере и в сборную блядь шева тоже тянет его."
какой это храм? 🤔,пиздюки - они и есть пизд... голову не заменишь((
всем большое спасибо за советы и репосты!!!! нашлась наша красотка(ch) (ch),есть нас подозрение у мил человек что пидфро ты
как грамотно решил то.да это же миссия!,для идиотов 🤬 ) )
"я не один раз подбирала котеек с улицы и не разу не пожалела, а наоборот была счастлива что не прошла мимо.","бедный ,срочно нужно ему на зону пока рожа не треснула как жопа!"
ана ..про грабли точно...и где же этот кто соберёт,"дебил, люки в калуге объезжаю как права получил. а вы калужские новости, такие же дебилы-новости рассказывайте."
"есть да ну,у нас все богатые, блин я только у знал, а где же мои деньги",конечно нет... припиздок ты ебучий
обыкновенный триммер,"типичный пример гмошного отравления. чем полны твои магазины? отравой, напитками 🐽 с эмульгаторами? чему ты радуешься клушка? тому что кредитными тачками? вернее, консервными банками с моторами. тебе так хочется прозябать в этой помойной яме с пальмовым маслом и генными овощными мутантами? ты жизнь прожила, а ума - котенок в подворотне умнее тебя , папуаски."
"ищу перец чили или чаша углей, запрос активен !","мерин сука колхозный.белоруссия нужна россии без этого конюха.иегова семена суки арестовали,волоком волоком,разбитое лицо все."
а сам рыбак в обмороке! не видно что то! 🙈,в глазах чужого государства они конечно красавцы!пидорасы кто россиянам поможет?
"как красиво написано!! браво!!! это город света, простора, воздуха. люблю до бесконечности.",для дебилов - ващщщета федор с ввп кореша и вот чойта кацца он ебло свернет любому кто будет тявкать на дружбана
"и не кто больше, ты только скулишь но не кусаешся","мразь,какая пизда тебя на свет произвела?"
этот человек достоин награды а не тйюрьмы,"эти сука пидоры будут о пощаде просить,- первыми."
"помню,1949 год. шаповалова мария тихоновна, в памяти осталась добрейшим человеком. царствие ей небесного.","с каким блять смыслом,сейчас ишаки бьют себе всякую хуйню"
"что то лабиринты нынче не радуют, какие то лишние штуки надо разбивать, а они оказываются обманкой, тратиться энергия лишняя. сундуков мало, не интересно. раньше лучше было",🐽 пошел он жопу.рожа поганая.
"здравствуйте. владивосток, можем отправить доставкой",иди сама овца на куй..заебала своей тупостью
"хотелось бы узнать, что за нужда заставила.","🐷 сахаров пидор кандальный, а 🤡 его жена шлюха! вместе они пиздоболы. вот всё, о чем нужно знать поколению егэ. его мемориал, построенный нынешними ворами, а также его центр в скором времени будет уничтожен. правда бывает только одна!"
поздравляю! очень рада за вас!,пёс смердячий на кол суку !
от чего их обрабатываете?,боже ! какие же моральные уроды сейчас сидят в верхних эшелонах власти .!
"ну вот за счёт жкх повышения и поднимет, красавец и денег у обнуленыша просить не надо.👍😂",эта мандавошка уже в половине команд супер лиги поиграл. и нигде толку от него нет.
"ниночка, прими и мои поздравления!!! очень рада что знакома с таким талантливым человеком!!! горжусь тобой!!! ok.ru/profile/541169225499/album/858598774555/872231075867",а 🙄 кто они такие-цыбо в дудру-долбоебы
совесть еще в детстве с соплями съел,идиотка мразь
"берегите эти земли,эти воды,даже малую былиночку любя. берегите всех зверей внутри природы,убивайте лишь зверей внутри себя.................. евгений евтушенко.",какоито ебонько его нужно в 🐷 психушку 😤
как здорово!! пьем чай собранный с любовью и радостью или лимон с медом),"вова, где твой утырок, муженек, спартак ему ебало заткнул? 😂"
"кто не спрятался,я не виноват.",пидарасы других слов просто нет
"ооочень милые,дарят позитив!!!",хуеглоты кремлевские
сострадание и россия неотделимы....это точно....менталитет россиян.....,пидор хотел полит убежище получить а менты не дали его помять -облом вышел ну ничего может в 2021 получится.
интересно где-же наш ротен берг и его качественные дороги да и ещё интересно соблюдает -ли водитель блядские правила остановка на двадцать минут через два часа езды --------------------------------,🤬 генеральши сосальных войск
вот так мы дружим с котом своим...,"на 😡 член себе одень гжельский поднос, собака серая!!! 🖕"
восхищаюсь ее талантом!!!,"🖕 ебнутое созданье в 3,15 возле бани...."
что ж не поговорить то с хорошим человеком😂,такие как ты и верят. поэтому вы и 🐔 ебланы в намордниках
"спасибо за рецепт, приготовлю.","господи, уже засыпались бы скорее эти безмозглые и ненасытные черепками от своих сокровищ (как в золотой антилопе)!.. ну почему всегда неповинные жестоко расплачиваются за жадность моральных уродов?..🙏"
"никому веры нет,в россии нет партии,за кого можно было голосовать","уебищный.... ни смеха, ни ума"
"у нас накосят, как попало и тухнит пока не высохнет или не вывезут, в городе","любители животных ! где эти любители 😑 бродячих животных ? маразматики , дома сидят !"
"почему сп не работает? в частности отношения одной особы, которая ведёт эфиры в ок лайфе, где полностью нарушает вами созданный регламент? в каждом эфире оскорбления, проклятия и унижения людей, в том числе и инвалидов, выстовления чужих фотографий, без согласия, как в прямых эфирах, так и в комментариях под эфирам и, много людей пишут в сп подери, приходят просто отписки. человек в наглую кидает номер своей карты, чуть ли не каждый эфир, никто её не блокает, проводит лоторей, не имея лицензионного соглашения, разве все это не является прямым нарушениями вашего канала?","я присягал ссср и значит я страну не защитили можно обвинять жидов,но я то где,ну где я был?при мне слетелось вороньё,при мне забыли бляди честьнам надо доказать блядям,что мы живые что мы есть!"
"чем она раньше занималась тогда нужно было стесняться ,а этого можно и не стесняться","ублюдок , шавка подзаборная лижущая своим хозяевам пятую точку 🤬"
лучше детей не скажешь...,🐽 ебаная иноплонетянская уебища
"а вы зачем? вам не нравится, а другим нравится!",хуесоска что надо!
"ооо,не издевайтесь, на это невозможно смотреть,супер",откуда берутся эти бляди
"угу актуально стоун,твердыню уже докачал счас докачать склады и шахты адамантовые а тогда войско заряжать и качать уровни для улучшения ранга для начала апологетам","дохира-ли людям дал материнский капитал. закредитованность населения 99.9 процентов. где социальное жильё, где рабочие места, где достойная пенсия. могу бесконечно перечислять заслуги плешивого и его пиздобратии."
"это моё мнение . а кому отвечаю ? всем . государство не виновато , за то какой правитель его пользует !",сука тупиковая. 🙄
так что нужно если нам было 3 года 11 июля нужно будет заново оформить мы уже оформляли что раньше плоти ли.,🤮 люди твари (дай бог и на том свете им спокойно не спалось)
"солидарна, она красотка.. и почему ей нельзя пользоваться фотошопом? а всем можно... завидки берут.. бабкина сама баба огонь, спецназ в юбке, так о ней говорят артисты певцы..",админ =еблан! уходи кричат лукашенко. не на том хайпаешь. в 2024 посмотришь накуя такая у вас росгвардия.
"лично у меня никаких, прекрасно помню его оскорбительные высказывания в адрес президента россии!","тебя то и человеком назвать но язык не поворачивается , а вот гнида ты больше подходишь так как эта падла насекомая сидит на волосах что и ты у общества !"
14 туристов золотые купола,.... свобода европидарасов......скоро в беларуси....
"тэдди на испытательном сроке. будем верить, что все будет хорошо! тори ждёт свою семью.",выгнать и больше чтоб не появлялась в стране мразь
"молодец, ты в будущем станешь хорошим архитектором. так держать!",путин враг всех пидорасов 😠
я получила за третьего и четвертого.,пидор.с он твой шнуров!
куча ошибок! прокуривала уроки русского языка...,"🐓 дочь с внуком тоже так же в больнице лежала. позор и есть едросам пидросам,других слов нет для них!"
